alt_name;name
Banashankarl;Banashankari
Bangalore City Station;Krantivira Sangolli Rayanna Railway Station
Hosahalli;Sri Balagangadharanatha Swamiji Station, Hosahalli
JP Nagar;Jaya Prakash Nagar
Kempegowda;Nadaprabhu Kempegowda Station, Majestic
KR Market;Krishna Rajendra Market
KSR Railway Station;Krantivira Sangolli Rayanna Railway Station
Kuvempu Road;Mahakavi Kuvempu Road
Manjunatha Nagar;Manjunathanagara
MG Road;Mahatma Gandhi Road
Mysuru Road;Mysore Road
Nallur Halli;Nallurahalli
Nayandahalli;Pantharapalya - Nayandahalli
Pattangere;Pattanagere
Puttenahalli;Yelachenahalli
RV Road;Rashtreeya Vidyalaya Road
Sir.M. Visveshwaraya;Sir M. Visvesvaraya Stn., Central College
SV Road;Swami Vivekananda Road
Thalghattapura;Thalaghattapura
Vidhana Soudha;Dr. B. R. Ambedkar Station, Vidhana Soudha
Yeshwanthpur;Yeshwantpur
Yeshwanthpur Industry;Goraguntepalya
